Timestamp,Organization/Resource,Old Tags,,Category 1,Category 2,Category 3,Short Description,Long Description,Website,Location,Phone Number,Audience,Facebook,Twitter,Contact,Service Area
,Business Enterprise Resource Office (BERO),,,Business Development,"Funding, Training",Resource Provider,"Provides assistance in business planning, licensing, financial management, expansion, certifications, public/private procurement, and meeting personal needs. Offers loans for entrepreneurs in rural areas of Tennessee.","This program is designed to encourage job creation and provide access to capital to existing and potential entrepreneurs of microenterprise. A microenterprise is defined as a for-profit entity with ten or fewer employees, one of whom owns the business. Established in order to support the growth and expansion of existing and potential entrepreneurs living and operating a business in rural Tennessee. Technical assistance and training are available for the duration of the loan.
///",https://www.tn.gov/ecd/section/bero,"Tennessee Tower 312 Rosa L. Parks Ave. Nashville, TN 37243",(615) 741-1888,,,,,
,Causeway,"Female Founders, Regional, Grants Funding,
Civic/Social Enterprise,
Community Development,
Social & Environmental, Funding and Services, Workspace",,Social Enterprise,"Training, Mentoring, Funding",Innovation District Landmark,,"Local online crowdsourcing platform, programs and resources for social entrepreneurs.

Using an entrepreneurial approach, Causeway inspires and equips Chattanoogans to develop smarter solutions to our city’s toughest challenges. We believe that any person, in any part of our community, with an idea for social change, should have access to the resources, tools, and guidance they need to act on that opportunity. ",causeway.org,"16 Patten Parkway, Chattanooga, TN 37402",(423) 521-5554,,,,,
,Center Centre,"Arts & Culture, Training, Networking, Services, Educational",,Arts & Culture,"Training, Mentoring",Innovation District Landmark,User experience design school creating the next generation of industry-ready UX designers.,Center Centre is a user experience design school that is creating the next generation of industry-ready UX designers.,http://centercentre.com/,"811 Broad Street, Suite 400 Chattanooga, TN 37402",423-805-7420 ,,,,,
,Chadev Python ,"Monthly Event, Educational, Networking",,Tech & Design,Networking,N/A,"Monthly meetup of local python developers, employers, enthusiasts, hobbyists, students and programmers of many languages. They welcome all levels of knowledge.",,https://www.meetup.com/Chattanooga-Python-User-Group/,,,,,,,
,Chambliss Startup Group,"Startup Support, Services (legal), Funding, Training, Mentoring",,Startup Support,"Training, Mentoring",Resource Provider,,"Chambliss business lawyers tailor services to meet the needs of the individual business. The firm's experience encompasses not just formation, but all stages of business development and structuring to meet the evolving needs of clients as their businesses grow and change.",http://www.chamblissstartup.com/,"Liberty Tower, 605 Chestnut Street, Suite 1700, Chattanooga, TN 37450",423.756.3000,,,,,
,Chambliss Startup Social,"Quarterly Event, Startup Support, Networking",Chambliss Startup Group,Startup Support,Networking,N/A,Quarterly event put on and hosted by Chambliss Startup Group,,,,,,,,,
,Chatt*Lab,"Weekly Event, Co-working Workspace",,"Arts & Culture, Makers","Space, Tools, Networking",Resource Provider,,"Chatt*lab is a Chattanooga based Makerspace and operates as an open community workshop democratically operated by their membership. They are a friendly community of tinkerers, makers, engineers, educators, scientists, artists, hackers and overall geeks. Anyone who is, aspires to be, or just wants to hang around smart, creative, friendly mad scientist maker/hacker in the Chattanooga area is welcome at Chattlab! ",http://www.chattlab.org/blog/,"100 Cherokee Boulevard, Chattanooga, TN, 37405",,,https://www.facebook.com/ChattLab/,,,
,Chattanooga Area Chamber of Commerce,"Public & Civic, Female Founders, Regional
Civic, Networking/ Guidance, Directory",,Public & Civic,"Networking, Tools",Innovation District Landmark,,"The chamber supports local businesses through the sharing of information. In fact, many of the programs listed here are also listed on the chambers website. They also offer general information about what is happening in Chattanooga’s business environment through statistics and demographic measurements.",www.chattanoogachamber.com,"811 Broad Street #100, Chattanooga, TN 37402",423-756-2121,,,,,
,Minority Business Assistance Program ,,Chattanooga Area Chamber of Commerce,"Public & Civic, Women & Minorities","Training, Networking, Tools",N/A,,"The mission of the Minority Business Assistance (MBA) Program is to support established and emerging minority-owned businesses in the Greater Chattanooga Area. The program strives to be a civic model for the development and implementation of diversity and inclusion strategies that advance productivity, innovation and economic growth. We believe that purposeful economic inclusion efforts will provide for greater success of the entire business community. 

We will do this by launching the following activities:

•  Dedicate a full-time Director to manage this program day-to-day;
•  Build an inclusive advisory board of business people to guide the activities of the program;
•  Initiate target marketing to engage African-American business owners; 
•  Facilitate connectivity and inclusiveness across the business community;
•  Develop a list of minority-owned businesses and provide a Request for Proposal distribution service to connect companies seeking products and services with minority-owned companies;
•  Assist minority companies in becoming eligible for procurement opportunities through state and federal certifications, such as: Minority Business Enterprise, Woman Business Enterprise, Veteran or Service-Disabled Veteran Owned Business Enterprise, HUBZone, 8(a), and other small and disadvantaged business enterprises; 
•  Identify opportunities for engaging minority business leaders in Chamber activities; and,
•  Provide a forum for minority business owners to discuss their common issues and opportunities.
",http://www.chattanoogachamber.com/diversityandinclusion/businessresources,"811 Broad Street #100, Chattanooga, TN 37402",423-756-2121,,www.facebook.com/chattanoogachamber,@CHAchamber,"H. Maria Noel, mnoel@chattanoogachamber.com, 423.763.4338",Chattanooga Area
,American Job Center - Chattanooga,,,Public & Civic,"Training, Networking",N/A,"Provides on-the-job training, incumbent work training, or a customized plan to get established small businesses running more smoothly.","As a part of the Tennessee Career Centers, Chattanooga’s branch provides on-the-job training, incumbent work training, or a customized plan to get established small businesses running more smoothly.",http://www.secareercenter.org/www/docs/116,,,,,,,
9/27/2012 13:49:23,Chattanooga Design Studio,,,Tech & Design,"Networking, Training",N/A,,"The Chattanooga Design Studio is an independent, non-profit community resource that promotes excellence in urban design through education, facilitation, and collaboration. ",http://www.chattanoogastudio.com/,,,,,,,
,Chattanooga Engineers Club,"Arts & Culture, Networking ?? Services",,Tech & Design,Networking,N/A,Promotes the exchange of ideas and technical knowledge among Chattanooga's community of engineers.,"The Chattanooga Engineers Club was founded to promote the exchange of ideas and technical knowledge. Members and guests are welcome to hear speakers present various topics relevant to engineering as well as other subjects of general interest. 

consulting engineers
programming to market/share ideas in the community",http://www.chattanoogaengineersclub.org/,,,individual or businesses needing engineering resource,,,lulu.copeland@chattanoogastate.edu,greater Chattanooga
9/27/2012 10:13:50,Chattanooga Housing Authority,Community Development,,Civic & Public,,N/A,Carries out public housing and urban development programs.,The Chattanooga Housing Authority (CHA) is a public non-profit corporation which carries out public housing and urban development programs as its primary activities. ,https://www.chahousing.org/,"801 N Holtzclaw Ave.
Chattanooga, TN 37404",423-752-4893,,,,,
,Chattanooga Neighborhood Enterprise (CNE),"Social & Environment, Community Development,
Debt Funding",,Social Enterprise,"Funding, Training, Mentoring",Resource Provider,Conducts programs to help build and sustain livable neighborhoods.,Chattanooga Neighborhood Enterprise (CNE) is a non-profit housing organization whose mission is to build and sustain livable neighborhoods.,http://www.cneinc.org/,"1500 Chestnut Street, Suite 102
Chattanooga, TN 37408",423.756.6201,,,,,
,Chattanooga Public Library (Downtown),"City Development, Civic, Training, Space, Tools, Public & Civic",,Public & Civic,"Tools, Training, Networking","Innovation District Landmark, Resource Provider",,"The Chattanooga Public Library serves City of Chattanooga residents through its main library in downtown Chattanooga and through three branches. Neighborhood library locations include the Northgate, Eastgate and South Chattanooga branches. Each branch houses differrent collections and provides different services as needed.",http://chattlibrary.org/,"1001 Broad Street
Chattanooga, TN 37402",423-643-7700,,,,,
,Chattanooga Renaissance Fund (CRF),"Equity Funding, Startup Support, Funding, Training, Mentoring
Entrepreneurship, Startup Support, Angel Investors' group",,Startup Support,Funding,N/A,,"Chattanooga Renaissance Fund invests in seed and early-stage companies that display great habits and solid growth potential. They focus primarily on entrepreneurs that are beyond the ""idea on the back of a napkin"" but are still searching for mentorship and positive connections. ",http://chattanoogarenaissancefund.com/,"201 W. Main Street, Suite 205
Chattanooga, TN 37408",423-756-0611,,,,,
9/27/2012 10:11:22,Chattanooga State,"Business Development, Educational",,Public & Civic,Training,Other,Local community college with teachers who are experts in different fields. Among the many things offered is an Associates Degree in Entrepreneurism.,"faculty members can serve as subject matter experts.
college services can be utilize at low or no cost.
students can be interns or employees
we can collaborate in dev training programs
we can offer CEU's and college credit when needed",www.chattanoogastate.edu,"4501 Amnicola Highway
Chattanooga, TN 37406",423.697.4400,"Chattanooga State can be a resource to individuals or comapnies, diff sizes, diff stages of development as they dev their skills or workforce.",,,lulu.copeland@chattanoogastate.edu,"Chattanooga State generally serve 6 country areas as defined by Tennessee Board of Regents, but can deliver our services outside our service area if invited.  We have served customers internationally."
,Chattanooga State Ent Degree,Educational,Chattanooga State,"Public & Civic, Startup Support",Training,N/A,"Entrepreneurship program offered by Chattanooga State. The program is for students interested in starting, financing, and operating a small business. Emphasis is on finance, marketing, accounting, personnel management, and supervision.",,,,,,,,,
,Chattanooga Technology Council,"Networking/Guidance, Monthly Event, Business Development",,"Business Development, Tech & Design",Networking,N/A,,"Members of the Chattanooga Technology Council gain access to a wide variety of resources and tools, including networking with local business peers, opportunities to broaden their knowledge base, and the ability to support local innovators and entrepreneurs.",https://chatechcouncil.org/,"100 Cherokee Blvd, Chattanooga, TN 37405",(423) 826-8700,,,,,
,Chattanooga Visitors Bureau (CVB),"City Development, Civic, Networking, Directory
Public & Civic",,Public & Civic,Networking,Other,,"Their mission is to strengthen the area economy by marketing Chattanooga as a year-round destination for conventions, meetings, trade shows, and leisure travel and to provide information and services that enhance and reinforce that image for the area's visitors.",http://www.chattanoogafun.com/,"Chattanooga Convention & Visitors Bureau
736 Market Street, 18th Floor
Chattanooga, TN 37402",(423) 756-8687,,,,,
,Chattanooga Women’s Leadership Institute (CWLI),"Female Founders, Regional,
Female Entrepreneurs",,"Civic & Public, Women & Minorities","Networking, Mentoring",Resource Provider,"Mentoring program, networking and resources to increase leadership capabilities and influences of women in the Chattanooga community.",,cwli.org,"2444 Broad Street,
Chattanooga, TN 37408",(423) 394-8173,,,,,
,Chattanooga Workspace,"Co-working Workspace,
Civic & Social, Arts, Arts & Culture",,Arts & Culture,"Space, Networking",,Collaboration space and private studios for creative professionals,,http://chattanoogaworkspace.com/,"302 W 6th Street, Chattanooga, TN 37402",(423) 822-5750,,,,,
,Chugalug,Monthly Event,,Tech & Design,Networking,,"Chattanooga Unix, Gnu, Android and Linux User Group",,https://chugalug.org,,,,,,,
,City of Chattanooga / City Hall,"City Development,
Civic, directory,
Public & Civic",,Public & Civic,"Training, Tools",Innovation District Landmark,"The website for the city of Chattanooga has links and information on the different city departments, and how to reach them.",,http://www.chattanooga.gov/,"101 E 11th St, Chattanooga, TN 37402",,,,,,
,CO.LAB Accelerator (CO.LAB),"Networking/Guidance, Accelerator",,Startup Support,"Space, Mentoring, Networking",N/A,Hundred day program for entrepreneurs who are fully focused on scaling their startup and are ready to determine next steps and prepare to seek funding.,,http://colab.co/programs/accelerator/,,,,,,,
,Code and Creativity,Monthly Event,,,,,,,,,,,,,,
,Community Foundation of Greater Chattanooga (CFGC),"Grants Funding, Social & Environment, Funding, Services,
Community Development",,Social Enterprise,Funding,Resource Provider,"Non-profit organization that exists to make Chattanooga a greater place to live, work, and give. They do so by funding various programs, grants, and scholarships across the city.","The Community Foundation of Greater Chattanooga is a non-profit organization that exists to make Chattanooga a greater place to live, work, and give. They do so by funding various programs, grants, and scholarships across the city.",http://www.cfgc.org/,"1270 Market St.
Chattanooga, TN 37402
",423.265.0586,,,,,
,Connect4Lunch,Weekly Event,,,,,,,,,,,,,,
,Covenant College Seed Project,"Educational, Investor Pitch Days, Educational",Covenant College,Startup Support,Funding,N/A,"The Seed Project initiative encourages Covenant College students to develop ideas among their peers, and how they might be able to turn those ideas into a business.",Covenant College is a Christian liberal arts college that exists to explore and express the preeminence of Jesus Christ in all things.,http://www.covenant.edu/students/resources/career/seedproject,"14049 Scenic Highway, Lookout Mountain, Georgia 30750 ",706.820.1560,,,,,
,Dev Dev,Educational,,Tech & Design,"Training, Tools",N/A,Summer camp through the Public Education Foundation that teaches programming and coding skills to kids.,,http://www.pefchattanooga.org/our-impact/teacher-leadership/dev-dev/,"100 East Tenth Street, Suite 500 
Chattanooga, TN 37402",423.265.9403,,,,,
,Drupal Meetup,"Monthly Event, Networking",,Tech & Design,Networking,N/A,"Group that meets once a month to learn Drupal, meet others using Drupal, and Have fun.",,https://www.meetup.com/Chattanooga-Drupal-Users-Group/,,,,,,,
,The Enterprise Center,"Entrepreneurship, Networking/Guidance, Startup Support, Funding, Training, Mentoring, Networking",,Civic & Public,Networking,Innovation District Landmark,,"The Enterprise Center shares federally funded research with Chattanooga’s technology based businesses to help in developing successful technology strategies. This service includes referrals to resources for grants, investment funding, recruiting staff and marketing support.",http://www.theenterprisectr.org/,"The Edney Innovation Center​
​1100 Market Street
Suite 500
Chattanooga, TN 37402
",(423) 661-3300,,,,,
,EPB Fiber Optics,City Development,,Public & Civic,Tools,Innovation District Landmark,,,https://epb.com/,"10 West MLK Blvd. Chattanooga, TN 37402",423-648-1372,,,,,
,Footprint Foundation,Grants Funding,,Social & Environmental,Funding,,Focuses on grants in Chattanooga TN and Northern California that invest in people with new ideas for strengthening  community.,,http://www.footprintfoundation.org/who-we-are/,,,,,,,
,Gig City,"City Development, Civic, Networking, Public & Civic",Chattanooga Area Chamber of Commerce,Public & Civic,,N/A,,,thegigcity.com,,,,,,,
,GIGTANK Accelerator,"Networking/Guidance, Accelerator, Startup Support",The Company Lab (CO.LAB),Startup Support,"Training, Networking, Mentoring",N/A,Boutique startup accelerator for entrepreneurs developing ultra high-bandwidth business applications. Operated by CO.LAB.,"GIGTANK 365 is a boutique startup accelerator for entrepreneurs developing ultra high-bandwidth business applications. This annual program is globally recognized for inviting participants to test their ideas on Chattanooga’s 10-gigabit, metro-wide fiber optic network. In each of the three cycles every year, startup teams enjoy support from a robust network of mentors, industry specialists, and business development resources as they prepare scalable companies for the next-generation marketplace.",http://colab.co/programs/#_gigtank,,,,,,,
,Girls Inc. Chattanooga,"Female Founders, Regional",,"Social Enterprise, Women & Minorities","Mentoring, Training, Networking",Resource Provider,After-school programs to inspire and equip girls on their journey to self-discovery.,,girlsincofchatt.org,"709 S. Greenwood Avenue, Chattanooga, TN 37404",(423) 624-4757,,,,,
,Glass House Collective,"Civic/Social Enterprise, Community Development, Training, Networking,
Social & Environmental",,Social Enterprise,"Training, Mentoring, Tools",Resource Provider,,"Entrepreneurial and Beta-minded, they gather diverse teams of talent to help revitalize historic Glass Street in East Chattanooga. Their work focuses on the following areas: Creative Placemaking projects and programs that help artists and entrepreneurs capture and shape the flavor of the neighborhood; Feet on the Streets getting people out of their cars and into transforming experiences – through creative public events; New Partnerships Using creativity as a resource for renewal to bring people together – those who have never been there before, as well as those who have lived and worked there for years.",http://www.glasshousecollective.org/,"2501 Glass Street
Chattanooga, Tennessee",(423) 402-0565,,,,,
,Green|Spaces,"Civic/Social Enterprise, Community Development, Services and Training, Social & Environmental",,Social Enterprise,"Training, Tools",Resource Provider,,"green|spaces' mission is to advance the sustainability of living, working, and building in Chattanooga and the surrounding region. ",http://www.greenspaceschattanooga.org/,"63 EAST MAIN STREET, CHATTANOOGA, TN 37408",423.648.0963,,,,,
,Grow Chattanooga,"Social & Environmental, Community Development",,Social Enterprise,Networking,Other,"Collective of farmers, restaurants, artisans, gardeners, markets, grocers, and resource organizations that raises awareness about locally grown, raised, and crafted food.","This program of Crabtree Farms is dedicated to the local foodshed, community, and economy. Grow Chattanooga raises awareness about locally grown, raised, and crafted food and helps make these ingredients part of the everyday lifestyle of area residents. This collective includes farmers, restaurants, artisans, gardeners, markets, grocers, and resource organizations located within 100 miles of Chattanooga. 

TasteBuds is Chattanooga’s FREE guide to our local food scene and is available both online and as a printed publication. This directory listing of Grow Chattanooga partners works hard to connect those who produce, purchase, and advocate local food. It also provides relevant informational articles and seasonal recipes.",http://growchattanooga.org/,,,,,,,
,Habitat for Humanity,"Community Development, Social & Environmental",,Social Enterprise,,N/A,,"Habitat for Humanity of Greater Chattanooga Area has been working in partnership with hard working low-income families in Chattanooga to build and finance new, safe, affordable homes. The program makes homeownership possible for families who are unable to qualify for traditional home loans but have a stable job, good or no credit, and the willingness to contribute sweat equity to the building of Habitat homes.",http://www.habichatt.org/,"1201 East Main St., Chattanooga, TN 37408",(423) 756-0507,,,,,
,Hamico Foundation,Grants Funding,,Social Enterprise,Funding,N/A,"Supports community foundations and festivals and organizations involved with arts and culture, education, health, athletics, and human services.",,http://grantsoffice.com/GrantDetails.aspx?gid=36640,"1715 W. 38th St., Chattanooga, TN 37409-1248",(423) 756-6585,,,,,
,Jump Fund,"Equity Funding, Female Founders, Regional",,"Startup Support, Women & Minorities",Funding,N/A,"Chattanooga-based, female-led funding initiative that will provide financial resources to women entrepreneurs.",,thejumpfund.com,,,,,,,
,LAUNCH Chattanooga,"Networking/Guidance, Community Development, Training and Mentoring, Startup Support,Training, Mentoring, Educational, Civic/Social, Enterprise, Startup Support, Funding, Training, Mentoring, Social & Environmental, Female Founders, Regional",,"Startup Support, Business Development","Training, Mentoring, Networking",Resource Provider,Entrepreneurial programs and events for adults and youth focused on empowering underserved communities.,"10-week Springboard business planning course
Connections to the mainstream business community
Connecting experienced business owners as mentors
Access to small loans

LAUNCH empowers entrepreneurs from underserved communities with business training, support and mentoring to better their lives and attain self-sufficiency. LAUNCH offers program tracks for both adult and youth participants interested in entrepreneurship.
///
",www.launchchattanooga.org,"302 W 6TH STREET, SUITE 100
CHATTANOOGA, TN 37402",423.523.9307,"ADULTS:  Supporting entrepreneurs from Chattanooga's underserved communities.   We work with entrepreneurs who have an idea for a business and with those who have no idea.  Either is fine.  We also are available to support business owners with existing businesses in the communities we serve.

YOUTH:  Area high schools involved in the entrepreneurship program which ends with a business pitch competition.",www.facebook.com/LAUNCHChattanooga,@LAUNCHChatt,"Hal Bowling, hbowling@launchchattanooga.org, 423.400.6422","Chattanooga
Specifically:
Alton Park
East Chattanooga
Hill City"
,Launch Tennessee (Nashville),"Female Founders, Regional",,Startup Support,"Funding, Networking",Resource Provider,Public-private partnership focused on the development of high-growth companies in Tennessee.,,launchtn.org,"211 7th Avenue North
Suite 205
Nashville, TN 37219",615-673-4419,,,,,
,Lyndhurst Foundation,"Grants Funding, City Development, Civic, Funding, Public & Civic",,Civic & Public,Funding,N/A,"The Lyndhurst Foundation identifies and invests in initiatives, institutions, people and programs that contribute to the long-term livability and resilience of the greater Chattanooga region.",,http://www.lyndhurstfoundation.org/,"517 E 5th St, Chattanooga, TN 37403",(423) 756-0767,,,,,
,Maclellan Foundation,Grants Funding,,Civic & Public,Funding,,"The foundation provides financial and leadership resources to faith-based ministries, helping to foster biblical Christian values in the community and meeting practical and spiritual needs.",,http://www.maclellan.net/page?pageid=a1dG0000001XxN1IAK,"820 Broad Street, Suite 300
Chattanooga, TN 3740
",(423) 755-1366,,,,,
,Medical Device Angel Group,Equity Funding,,,,,,,,,,,,,,
,Mozilla Gigabit Community Fund,Grants Funding,,,,,"The Mozilla Gigabit Community Fund provides grant funding to support pilot tests of gigabit technologies such as virtual reality, 4K video, artificial intelligence, and their related curricula. In so doing, their goal is to increase participation in technology innovation in support of a healthy Internet where all people are empowered, safe, and independent online.",,https://learning.mozilla.org/en-US/gigabit/,,,,,,,
,National Center for Women & Information Technology (NCWIT),"Female Founders, National",,,,,"Resources, events and news for women in technology and computing.",,ncwit.org,,,,,,,
,Neighborhood University (City of Chattanooga),"Program, Event, Civic, Public & Civic, Workshops, Training",,,,,Workshops for leaders who want to be more involved in their Chattanooga neighborhood. Focus on collaboration and including youth.,"A free program from the City of Chattanooga's Department of Economic & Community Development. Neighborhood University is seeking engaged and emerging leaders who want to be more involved in Chattanooga and their neighborhood. Neighborhood University convenes March 3 - 4, 2017 at the new Family Justice Center (5705 Uptain Rd), for two days of workshops, alongside leaders from dozens of Chattanooga's neighborhoods, on topics such as: Using your community assets to improve your neighborhood, Collaborating community-wide to influence & affect decisions in your neighborhood, Including youth to affect change in communities.",http://connect.chattanooga.gov/neighborhooduniversity/,"5705 Uptain Rd, Chattanooga, TN 37411",,Engaged and emerging leaders across Chattanooga who want to have more impact in their neighborhood communities,,,,Chattanooga metro area
,One Million Cups,"Weekly Event, Networking",,,,,"Weekly meetup  to educate, engage, and connect entrepreneurs local entrepreneurs and business people.","One Million Cups is a group that meets up once a week to educate, engage, and connect entrepreneurs local entrepreneurs and business people.",http://www.1millioncups.com/chattanooga,,,,,,,
,Open Chattanooga Brigade,"Weekly Event, City Development,  Civic, Tool, Public & Civic",,,,,,"The Open Chattanooga Brigade empowers citizens with City data to tell stories, solve problems, and better interact with their government. A local chapter of the Code for America Brigade since 2012, the Brigade is looking for creative thinkers, neighborhood advocates, data nerds, designers, developers, and entrepreneurs to help develop meaningful solutions to local issues. The Brigade is the citizen arm of Open Chattanooga and needs the passion and skills to make the Collaborative's efforts meaningful.",http://openchattanooga.com/,,,,,,,
,Outdoor Chattanooga,Social & Environmental,,,,,,"Their mission is to make outdoor recreation an attractive, healthy, and distinguishing lifestyle for Chattanooga's residents and visitor population, which, in turn, will maintain and enhance the value of the region's natural and built resources, and help grow the region's economy.",http://www.outdoorchattanooga.com/,"200 River St. Chattanooga, TN 37405",(423) 643-6888 ,,,,,
,Pathway Lending,,,,,,,"A statewide non-profit community development financial institution offering various lending programs to help small businesses lacking access to traditional financing options, with an emphasis on small, minority, and women-owned businesses in low and moderate- income communities in the Southeast. Loans are available for starting, buying or expanding a business, purchasing or constructing real estate, buying equipment and machinery, providing working capital and buying inventory.",https://www.pathwaylending.org/,"201 Venture Circle
Nashville, TN 37228",615.425.7171,,,,,
,PHP Meetup,"Monthly Event, Networking",,,,, Chattanooga group devoted to the development of applications and web sites using PHP and other related technologies. ,,https://www.meetup.com/chattanoogaphp/,,,,,,,
,Project Lift,"Networking/Guidance, Accelerator",,,,,Healthcare accelerator operated by Lift 1428.,,,,,,,,,
,Public Art Chattanooga,Arts,,,,,,"Public Art Chattanooga, housed in the City of Chattanooga Parks and Recreation Department, is dedicated to introducing a wide variety of high quality public art into the community, enhancing the civic environment and enriching the lives of visitors and residents.",http://www.chattanooga.gov/public-art/,"2nd Floor City Hall
101 East 11th Street
Chattanooga, TN 37402",,,,,,
,Public Education Foundation,Grants Funding,,Public & Civic,"Funding, Training",Innovation District Landmark,,"They are an independent, nonprofit, community-based organization that for over twenty‐five years, has provided training, research and resources to teachers, principals and schools in Hamilton County and surrounding areas.",http://www.pefchattanooga.org/,"100 East Tenth Street, Suite 500 
Chattanooga, TN 37402",423.265.9403,,,,,
,Pulse Music Directory,"Arts & Culture, Directory",,,,,,,,,,,,,,
,Regions Bank,Debt Funding,,,,,"Offers several lines of credit, including detail and commercial lending; SBA loans and recievables financing.",,https://www.regions.com/personal-banking/,,,,,,,
,River City Company,"Grants Funding, Public & Civic, City Development,
Civic,Space, Funding, Networking",,,,,"Economic development engine for Downtown Chattanooga, conducting programs and projects that stimulates the community's economic, social and cultural growth.","River City Company is the economic development engine for Downtown Chattanooga. Through its work to cultivate and advocate for a vibrant and healthy downtown, River City Company stimulates the community's economic, social and cultural growth.",http://www.rivercitycompany.com/,"50 Market Street 
2nd Floor Miller Plaza 
Chattanooga, TN 37402",423 265 3700,,,,,
,Rivoli Art Mill,Craft Workspace,,,,,,,,,,,,,,
